Date,Name,Year,Letterboxd URI,Rating
2022-05-03,Thelma & Louise,1991,https://boxd.it/28Ew,4
2022-05-03,Before Sunset,2004,https://boxd.it/2bcg,2
2022-05-03,Hollywood Ending,2002,https://boxd.it/1Y2W,1
2022-05-03,Cashback,2006,https://boxd.it/1Sf6,3
2022-05-03,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2022-05-03,Closer,2004,https://boxd.it/270K,1
2022-05-03,The Holy Girl,2004,https://boxd.it/S12,1
2022-05-03,Into the Wild,2007,https://boxd.it/22m2,4
2022-05-03,The Imitation Game,2014,https://boxd.it/6aig,4
2022-05-03,The Butterfly Effect,2004,https://boxd.it/27M0,2
2022-05-03,Whiplash,2014,https://boxd.it/7bQA,3
2022-05-03,Birdman,2015,https://boxd.it/frqO,2
2022-05-03,Memento,2000,https://boxd.it/2bcK,4
2022-05-03,Inception,2010,https://boxd.it/1skk,4
2022-05-03,Gone Girl,2014,https://boxd.it/6hQu,4.5
2022-05-03,Fight Club,1999,https://boxd.it/2a9q,4.5
2022-05-03,Room,2015,https://boxd.it/7T0y,4
2022-05-03,Contact,1997,https://boxd.it/29OM,4
2022-05-03,I Origins,2014,https://boxd.it/7aRM,1
2022-05-03,Funny Games,2007,https://boxd.it/207a,2
2022-05-03,Trainspotting,1996,https://boxd.it/29XY,4
2022-05-03,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,3.5
2022-05-03,Annie Hall,1977,https://boxd.it/29M2,1
2022-05-03,The Virgin Suicides,1999,https://boxd.it/28JG,4
2022-05-03,Ruby Sparks,2012,https://boxd.it/3w9O,2.5
2022-05-03,Charlie Bartlett,2007,https://boxd.it/1ZY8,4
2022-05-03,"Girl, Interrupted",1999,https://boxd.it/25ds,2.5
2022-05-03,Run Lola Run,1998,https://boxd.it/2b8o,3.5
2022-05-03,Antonia's Line,1995,https://boxd.it/29nG,4
2022-05-03,In Time,2011,https://boxd.it/FPS,4
2022-05-03,Struck by Lightning,2012,https://boxd.it/35Hu,3.5
2022-05-03,The Neon Demon,2016,https://boxd.it/9AnW,2
2022-05-03,La La Land,2016,https://boxd.it/a5fa,3.5
2022-05-03,Persepolis,2007,https://boxd.it/27DC,4
2022-05-03,The Color Purple,1985,https://boxd.it/29oO,4
2022-05-03,Y Tu Mamá También,2001,https://boxd.it/28QM,2.5
2022-05-03,20th Century Women,2016,https://boxd.it/bqU6,3
2022-05-03,Boy Erased,2018,https://boxd.it/gWxe,2.5
2022-05-03,Marighella,2019,https://boxd.it/i3RC,4
2022-05-03,The Iron Giant,1999,https://boxd.it/1Wow,3
2022-05-03,Bacurau,2019,https://boxd.it/fSUG,3.5
2022-05-03,Us,2019,https://boxd.it/gnV6,3.5
2022-05-03,The Number 23,2007,https://boxd.it/258C,2
2022-05-03,Mary and Max,2009,https://boxd.it/1y2m,3
2022-05-03,Little Women,2019,https://boxd.it/aSVk,3
2022-05-03,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2022-05-03,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,1
2022-05-03,Ready or Not,2019,https://boxd.it/kOf0,3.5
2022-05-03,Kramer vs. Kramer,1979,https://boxd.it/h0w,4.5
2022-05-03,Candyman,1992,https://boxd.it/1Ys6,3.5
2022-05-03,Heathers,1989,https://boxd.it/26x4,3
2022-05-03,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/1ZbK,3.5
2022-05-03,Beetlejuice,1988,https://boxd.it/24QI,3.5
2022-05-03,Atonement,2007,https://boxd.it/24ui,3
2022-05-03,Booksmart,2019,https://boxd.it/igNS,3.5
2022-05-03,The Kissing Booth,2018,https://boxd.it/geR0,0.5
2022-05-03,The Visit,2015,https://boxd.it/9ssO,3
2022-05-03,She's Gotta Have It,1986,https://boxd.it/1quC,3.5
2022-05-03,Youth in Revolt,2009,https://boxd.it/1AK6,2.5
2022-05-03,A Dangerous Method,2011,https://boxd.it/IYo,3
2022-05-03,Late Night,2019,https://boxd.it/iZq0,4
2022-05-03,Margarita with a Straw,2015,https://boxd.it/8Vu8,4
2022-05-03,Real Women Have Curves,2002,https://boxd.it/1lBI,3
2022-05-03,It,2017,https://boxd.it/bC8e,4
2022-05-03,Eighth Grade,2018,https://boxd.it/hDMG,3.5
2022-05-03,Carnage,2011,https://boxd.it/2peU,2
2022-05-03,The Father's Shadow,2018,https://boxd.it/jGCo,2.5
2022-05-03,Hereditary,2018,https://boxd.it/hNVe,4.5
2022-05-03,Under the Silver Lake,2018,https://boxd.it/dSAs,2
2022-05-03,Tattoo,2013,https://boxd.it/6IEK,4
2022-05-03,A Quiet Place,2018,https://boxd.it/fVJQ,3
2022-05-03,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,3
2022-05-03,Doctor Sleep,2019,https://boxd.it/i5vI,3
2022-05-03,A Wolf at the Door,2013,https://boxd.it/6nHy,4.5
2022-05-03,Friendly Beast,2017,https://boxd.it/gvzC,3
2022-05-03,You've Got Mail,1998,https://boxd.it/1Yye,3
2022-05-03,Practical Magic,1998,https://boxd.it/21HS,3.5
2022-05-03,The F**k-It List,2020,https://boxd.it/m3uc,1.5
2022-05-03,Don't Blame the Kid,2016,https://boxd.it/cNC2,3.5
2022-05-03,Prisoners,2013,https://boxd.it/4E5i,3.5
2022-05-03,Brainstorm,2000,https://boxd.it/vlo,4.5
2022-05-03,21,2008,https://boxd.it/20BO,3.5
2022-05-03,The Boss,2016,https://boxd.it/awu2,2
2022-05-03,Whip It,2009,https://boxd.it/1A3m,3
2022-05-03,The Voyeurs,2021,https://boxd.it/nZoe,2.5
2022-05-03,Erin Brockovich,2000,https://boxd.it/2al2,4
2022-05-03,The Night Eats the World,2018,https://boxd.it/gmgQ,2
2022-05-03,Malignant,2021,https://boxd.it/mViE,4.5
2022-05-03,Wine Country,2019,https://boxd.it/izJU,3
2022-05-03,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4.5
2022-05-03,"Good Bye, Lenin!",2003,https://boxd.it/2ayA,4
2022-05-05,Lulli,2021,https://boxd.it/qaoI,2.5
2022-05-05,Everybody's Talking About Jamie,2021,https://boxd.it/n8ha,2
2022-05-05,Elephant,2003,https://boxd.it/287i,4
2022-05-05,The Front Runner,2018,https://boxd.it/h78Y,3
2022-05-05,In Therapy,2009,https://boxd.it/1nKW,5
2022-05-05,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,3.5
2022-05-05,Being the Ricardos,2021,https://boxd.it/iJQc,3
2022-05-05,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
2022-05-05,Uma Nova Onda de Liberdade: A História do Madame Satã,2015,https://boxd.it/nffU,3.5
2022-05-05,The Final Girls,2015,https://boxd.it/9gv2,2.5
2022-05-05,Fracture,2007,https://boxd.it/220K,3.5
2022-05-05,The House,2022,https://boxd.it/yVza,3
2022-05-05,Escape Room,2019,https://boxd.it/iYlS,4
2022-05-05,Up in the Air,2009,https://boxd.it/1zPY,3
2022-05-05,The Exorcist,1973,https://boxd.it/1Yoo,4
2022-05-05,O Shaolin do Sertão,2016,https://boxd.it/eRYK,3
2022-05-05,Titane,2021,https://boxd.it/nlQC,2
2022-05-05,Annette,2021,https://boxd.it/f0RS,1.5
2022-05-05,The Lighthouse,2019,https://boxd.it/icFU,2.5
2022-05-05,Swallow,2019,https://boxd.it/lA0i,4
2022-05-05,Someday This Pain Will Be Useful to You,2011,https://boxd.it/3gEc,1.5
2022-05-05,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE,3.5
2022-05-05,The Exorcism of Emily Rose,2005,https://boxd.it/200I,3
2022-05-05,The Lady Vanishes,1938,https://boxd.it/29ea,3
2022-05-05,The City of Lost Children,1995,https://boxd.it/29k8,1.5
2022-05-05,Side Effects,2013,https://boxd.it/3GA6,3
2022-05-05,Letter Beyond the Walls,2019,https://boxd.it/nszy,4
2022-05-05,Neon Bull,2015,https://boxd.it/a6Ke,3.5
2022-05-05,If Beale Street Could Talk,2018,https://boxd.it/gGhu,3.5
2022-05-05,French Exit,2020,https://boxd.it/m81Y,2.5
2022-05-05,Happy Together,1997,https://boxd.it/1Ha0,2.5
2022-05-05,Host,2020,https://boxd.it/r5O4,4
2022-05-05,Werewolves Within,2021,https://boxd.it/u8fC,2.5
2022-05-05,The Woman,2011,https://boxd.it/3dG,5
2022-05-05,Agora,2009,https://boxd.it/1tVc,3
2022-05-05,Lamb,2021,https://boxd.it/tFwE,1.5
2022-05-05,Bad Education,2004,https://boxd.it/2b2K,3.5
2022-05-05,Ghost Stories,2017,https://boxd.it/fdA6,3
2022-05-05,Batman: The Killing Joke,2016,https://boxd.it/djxe,4
2022-05-05,492: A Man Called Death,2017,https://boxd.it/hfXK,3.5
2022-05-05,Lizzie,2018,https://boxd.it/gqlA,2.5
2022-05-05,The Conductor,2018,https://boxd.it/jKGO,3
2022-05-05,Chungking Express,1994,https://boxd.it/1UDa,3.5
2022-05-05,The Rental,2020,https://boxd.it/lCQ6,2.5
